AC005229.5
AC005741.2
AC006028.11
AC008697.1
AC012370.3
AC018445.1
AC018717.1
AC019117.1
AC023128.2
AC067751.1
AC067945.4
AC073065.3
AC096633.1
AC108105.1
AC109589.1
AC114730.5
ACO2
ADAM30
ADCY3
AIMP1P2
AJ006998.2
AL031590.1
AL109843.1
AL121753.1
AL390240.1
ANGPTL3
AP001057.1
APEH
BACH2
BTBD8
C17orf67
C1orf106
C1orf141
C3orf84
CARD9
CCDC122
CCL7
CCRL2
CD28
CD40
CD6
CDC42SE2
CHP1
CPEB4
CTA-85E5.7
CTC-276P9.2
CTD-2028E8.1
CTD-3065B20.1
CTIF
CTSW
CUL2
CYTH1
DOK6
ERAP2
ERGIC1
F5
FABP3P2
FAP
FOSL2
FUT2
GCKR
GLYAT
GPR18
GPR65
GRP
HGFAC
HLA-DQB1
IFNGR2
IL10
IL18RAP
IL1R2
IL27
IP6K2
IRF4
IRF5
IRGM
ITLN1
JAK2
KIAA1109
KIF3B
KPNA7
LINC00332
LINC00484
LINC00598
LINC00604
LITAF
LRRK2
LSP1
MAP3K8
MIR1178
MIR1181
MIR1260B
MTND5P5
MYRF
NDFIP1
NDUFB8P2
NFKB1
NFKBIZ
NOD2
NOTCH1
OSMR
PARK7
PIGCP2
PLA2G4A
PLA2R1
PLAU
PLCL1
PPBP
PPP5C
PRKCB
PRM1
PTGIR
PTK2B
PTPN2
PTPRC
PUSL1
RAD23BP1
RASGRP1
RGS14
RIMBP3C
RIT1
RN7SKP211
RNA5SP184
RNA5SP95
RNASET2
RNF186
RNFT1P2
RNU6-222P
RNU6-586P
RNU6-793P
RNU6-925P
RNU6-979P
RNY3P9
RORC
RP1-111C20.3
RP1-111D6.3
RP1-135L22.1
RP1-170O19.14
RP11-129J12.2
RP11-136O12.2
RP11-158I9.5
RP11-172C16.5
RP11-253I19.3
RP11-25K21.6
RP11-290F20.2
RP11-293M10.2
RP11-310P5.1
RP11-324H7.1
RP11-327F22.6
RP11-342M21.2
RP11-389C8.1
RP11-415K20.1
RP11-419K12.1
RP11-421L21.2
RP11-42O15.2
RP11-436D10.3
RP11-436I24.1
RP11-438D8.2
RP11-536K7.5
RP11-542M13.2
RP11-600L4.1
RP11-60A8.1
RP11-615I2.1
RP11-642D6.1
RP11-672A2.7
RP11-720N19.1
RP11-769N21.2
RP11-78H18.2
RP11-89M16.1
RP11-91K11.2
RP11-94L15.2
RP11-95M15.2
RP3-348I23.2
RP3-395M20.7
RP4-583P15.15
RP5-1013A22.5
RPL23AP12
RPL7AP38
RPS21P8
RPS6KA4
RSBN1
RSPO3
SBNO2
SCARNA5
SFMBT1
SLAIN2
SLC12A9
SLC22A23
SLC39A11
SLC7A10
SNORA63
SP110
TET2
THADA
THEMIS
TMBIM1
TMEM180
TNFSF8
TRAF3IP2
TSPAN14
TYK2
XXbac-BPG248L24.10
Y_RNA
ZFP36L1
ZMIZ1
ZNF365
ZNF831
