ABCF2
AKAP11
ALK
ALS2CR7
ANAPC1
AP1S3
ARHGAP1
AXIN1
BCL11A
BET1L
C12orf23
C16orf38
C17orf53
C18orf19
C6orf97
C7orf58
CBR3
CDKAL1
COL11A1
CPN1
CTNNB1
CYLD
CYP19A1
DAB2IP
DCDC5
DDX53
DHH
DNM3
DUSP21
EFNA5
ERC1
FAM9B
FOXK1
FOXL1
FUBP3
GALNT3
GPATCH1
GRB10
HOXC6
IDUA
IFLTD1
INSIG2
JAG1
KCNMA1
KIAA2018
KIF2B
KLHDC5
LEKR1
LIN7C
LRP5
MAGEA4
MAGEE2
MAPT
MARK3
MBL2
MEF2C
MEPE
MPP7
NAB1
NTAN1
PKDCC
PKIA
PLAC9
PLVAP
PTPRN2
RARB
RBMS3
RERE
RNF216
RPS6KA5
RSPO3
RTDR1
SALL1
SCYL1
SLC25A13
SMG6
SOST
SOX6
SOX9
SP7
SPTBN1
STARD3NL
SUPT3H
SUSD4
TESK2
TNFRSF11A
TNFRSF11B
TXNDC3
WLS
WNT16
WNT4
XKR9
ZBTB40
