7q22
9p21
ABCG5
ABCG8
ABO
ACO74093.1
ADAMTS7
ADTRP
AK097927
ANKS1A
APOA1
APOA5
APOB
APOC1
APOE
ATP2B1
C6orf105
CNNM2
COL4A1
COL4A2
CXCL12
CYP17A1
EDNRA
FES
FLT1
FURIN
GGCX
GUCY1A3
HDAC9
HHIPL1
IL6R
KCNE2
KCNK5
KIAA1462
LDLR
LIPA
LPA
LPAL2
LPL
MIA3
MRAS
NT5C2
PCSK9
PDGFD
PEMT
PHACTR1
PLG
PPAP2B
RAI1
RASD1
SH2B3
SLC22A3
SLC22A4
SLC22A5
SMG6
SORT1
TCF21
TRIB1
UBE2Z
VAMP5
VAMP8
WDR12
ZC3HC1
ZEB2
ZNF259
